File,NumCameras,CostFuncType,OldBestCost,NewResCost,NewOccCost,NewCombCost,OldZeroPct,NewZeroPct,NewMinCov,NewAvgCov
6Cams_Run_20260415_183642.mat,6,NaN,0.054308,NaN,43.828475,NaN,0.00,0.00,3,5.689
6Cams_Run_20260415_220851.mat,6,NaN,0.054308,NaN,43.828475,NaN,0.00,0.00,3,5.689
6Cams_Run_20260416_014459.mat,6,NaN,0.038680,NaN,31.979142,NaN,0.00,0.00,4,5.651
7Cams_Run_20251212_153506.mat,7,NaN,0.053549,NaN,47.170249,NaN,0.00,0.00,4,6.486
7Cams_Run_20260402_161592.mat,7,NaN,0.145024,NaN,108.382413,NaN,0.00,0.00,4,6.561
7Cams_Run_20260402_203390.mat,7,NaN,0.163636,NaN,72.778228,NaN,0.00,0.00,2,6.095
7Cams_Run_20260403_005224.mat,7,NaN,0.196707,NaN,79.911588,NaN,0.00,0.00,4,6.825
7Cams_Run_20260403_051054.mat,7,NaN,0.118384,NaN,119.612071,NaN,0.00,0.00,4,6.862
7Cams_Run_20260403_092868.mat,7,NaN,0.094212,NaN,96.093660,NaN,0.00,0.00,4,6.281
7Cams_Run_20260403_134796.mat,7,NaN,0.136648,NaN,91.541759,NaN,0.00,0.00,4,5.924
7Cams_Run_20260403_144686.mat,7,NaN,0.125973,NaN,88.650524,NaN,0.00,0.00,4,6.746
7Cams_Run_20260403_154412.mat,7,NaN,0.167044,NaN,108.106830,NaN,0.00,0.00,4,6.592
7Cams_Run_20260403_174154.mat,7,NaN,0.128028,NaN,89.427793,NaN,0.00,0.00,3,6.138
7Cams_Run_20260403_193834.mat,7,NaN,0.239165,NaN,94.242964,NaN,0.00,0.00,5,6.730
7Cams_Run_20260403_214004.mat,7,NaN,7.186429,NaN,18.737255,NaN,0.00,0.00,4,6.170
7Cams_Run_20260404_014371.mat,7,NaN,9.212814,NaN,14.696754,NaN,0.00,0.00,3,6.475
7Cams_Run_20260404_094235.mat,7,NaN,3.062872,NaN,14.547460,NaN,0.00,0.00,3,5.933
7Cams_Run_20260404_101066.mat,7,NaN,5.277256,NaN,19.064999,NaN,0.00,0.00,3,6.692
7Cams_Run_20260404_153193.mat,7,NaN,0.032167,NaN,28.700243,NaN,0.00,0.00,3,6.694
7Cams_Run_20260404_202369.mat,7,NaN,0.040753,NaN,34.532546,NaN,0.00,0.00,3,6.582
7Cams_Run_20260405_011436.mat,7,NaN,0.058532,NaN,48.443127,NaN,0.00,0.00,1,6.653
7Cams_Run_20260405_060511.mat,7,NaN,0.029108,NaN,23.797183,NaN,0.00,0.00,3,6.610
7Cams_Run_20260405_154528.mat,7,NaN,0.021275,NaN,16.208631,NaN,0.00,0.00,4,6.770
7Cams_Run_20260416_214190.mat,7,NaN,0.076876,NaN,313.209934,NaN,0.00,0.00,3,6.005
7Cams_Run_20260417_020019.mat,7,NaN,0.145024,NaN,108.382413,NaN,0.00,0.00,4,6.561
7Cams_Run_20260417_062025.mat,7,NaN,0.145024,NaN,108.382413,NaN,0.00,0.00,4,6.561
7Cams_Run_20260417_103717.mat,7,NaN,0.094212,NaN,96.093660,NaN,0.00,0.00,4,6.281
7Cams_Run_20260417_145682.mat,7,NaN,0.094212,NaN,96.093660,NaN,0.00,0.00,4,6.281
7Cams_Run_20260417_191511.mat,7,NaN,0.094212,NaN,96.093660,NaN,0.00,0.00,4,6.281
7Cams_Run_20260417_201393.mat,7,NaN,0.125973,NaN,88.650524,NaN,0.00,0.00,4,6.746
7Cams_Run_20260417_211292.mat,7,NaN,0.124373,NaN,99.392440,NaN,0.00,0.00,4,6.680
7Cams_Run_20260417_231092.mat,7,NaN,0.128028,NaN,89.427793,NaN,0.00,0.00,3,6.138
7Cams_Run_20260418_000953.mat,7,NaN,0.128028,NaN,89.427793,NaN,0.00,0.00,3,6.138
7Cams_Run_20260418_010813.mat,7,NaN,0.128028,NaN,89.427793,NaN,0.00,0.00,3,6.138
7Cams_Run_20260418_030715.mat,7,NaN,7.186429,NaN,18.737255,NaN,0.00,0.00,4,6.170
7Cams_Run_20260418_050717.mat,7,NaN,7.186429,NaN,18.737255,NaN,0.00,0.00,4,6.170
7Cams_Run_20260418_070777.mat,7,NaN,7.186429,NaN,18.737255,NaN,0.00,0.00,4,6.170
7Cams_Run_20260418_130695.mat,7,NaN,5.163397,NaN,7.776391,NaN,0.00,0.00,4,6.718
7Cams_Run_20260418_204658.mat,7,NaN,0.032167,NaN,28.700243,NaN,0.00,0.00,3,6.694
7Cams_Run_20260419_161045.mat,7,NaN,0.015753,NaN,10.859945,NaN,0.00,0.00,5,6.765
7Cams_Run_20260429_121564.mat,7,NaN,0.054153,NaN,44.487013,NaN,0.00,0.00,1,6.195
7Cams_Run_20260429_141066.mat,7,NaN,0.061302,NaN,51.495391,NaN,0.00,0.00,4,6.528
7Cams_Run_20260501_024954.mat,7,NaN,0.029827,NaN,22.252907,NaN,0.00,0.00,4,6.790
7Cams_Run_20260501_165727.mat,7,NaN,0.031138,NaN,24.559226,NaN,0.00,0.00,3,6.852
7Cams_Run_20260501_203365.mat,7,NaN,0.030722,NaN,24.279802,NaN,0.00,0.00,4,6.733
7Cams_Run_20260502_034617.mat,7,NaN,0.026403,NaN,28.272967,NaN,0.00,0.00,4,6.494
7Cams_Run_20260502_044779.mat,7,NaN,0.028534,NaN,15.864858,NaN,0.00,0.00,5,6.364
7Cams_Run_20260502_054990.mat,7,NaN,0.035804,NaN,33.536498,NaN,0.00,0.00,3,6.676
7Cams_Run_20260504_011971.mat,7,NaN,0.020798,NaN,23.531861,NaN,0.00,0.00,4,6.666
7Cams_Run_20260504_045365.mat,7,NaN,0.026403,NaN,28.272967,NaN,0.00,0.00,4,6.494
7Cams_Run_20260504_082761.mat,7,NaN,0.026403,NaN,28.272967,NaN,0.00,0.00,4,6.494
7Cams_Run_20260504_115877.mat,7,NaN,0.026403,NaN,28.272967,NaN,0.00,0.00,4,6.494
8Cams_Run_20260406_040893.mat,8,NaN,0.254069,NaN,94.828801,NaN,0.00,0.00,4,7.231
8Cams_Run_20260406_095584.mat,8,NaN,0.698947,NaN,58.608648,NaN,0.00,0.00,2,7.580
8Cams_Run_20260406_154432.mat,8,NaN,0.159694,NaN,140.450234,NaN,0.00,0.00,4,7.188
8Cams_Run_20260406_213054.mat,8,NaN,0.290308,NaN,75.136457,NaN,0.00,0.00,5,7.443
8Cams_Run_20260407_090778.mat,8,NaN,0.813152,NaN,117.874373,NaN,0.00,0.00,5,7.562
8Cams_Run_20260407_130365.mat,8,NaN,0.273028,NaN,79.074257,NaN,0.00,0.00,4,7.121
8Cams_Run_20260407_154157.mat,8,NaN,0.324054,NaN,82.968510,NaN,0.00,0.00,5,7.664
8Cams_Run_20260407_165954.mat,8,NaN,0.301566,NaN,113.524228,NaN,0.00,0.00,4,7.654
